Agreeable,Self.Kept,Married,Food.Insecurity,Nonanonymous.Play,Extraverted,Ill.This.Mo,Income.zscore,IG.Avg,OG.Avg,Can.Stay,log.Subj.SES,Prod.Income.Drop,Market.Items.zscore,Dependency,Population,Places.Lived,Can.Borrow,Risk.Aversion,Years.Education,Shortfall.Summary,No.Neg.Stereos,Coop.Labor,Media.zscore,Sex.Male,Times.Church.Mo,Version,Visited.zscore,Age
8,0,TRUE,1.5,FALSE,6,0,-0.556072125,0,7,0,0,0,-0.263848623,0,Intercultural,4,2,5,0,-1.370883309,,0,0.007783415,FALSE,4,B,-0.563449276,30
3,0,TRUE,1.5,TRUE,9,0,-0.064220357,4,3,1,0,0,-0.204903981,1,Intercultural,4,2,4,9,-1.069444855,,0,3.147295228,TRUE,0,A,1.907491071,60
4,21,FALSE,1.5,FALSE,5,1,0.507872229,0,0,1,1.098612289,1,1.887203859,1,Intercultural,6,2,8,12,-0.217724089,,1,0.007783415,TRUE,0,A,1.68286013,50
0,0,TRUE,1,TRUE,6,0,-0.795988911,3.666666667,3.333333333,1,0,0,-0.503343445,1,Intercultural,4,2,11,5,-1.428638469,,1,-0.188436073,TRUE,0,C,0.335074486,50
4,0,TRUE,0,FALSE,4,0,1.203797495,4,3,1,1.609437912,1,0.850230614,3,Intercultural,6,2,6,12,-0.692428023,0,1,2.362417275,FALSE,4,B,-0.338818335,30
6,1,TRUE,0,TRUE,8,0,-1.146294247,,,1,1.098612289,0,2.314845114,3,Intercultural,5,2,6,3,-1.544148789,,0,-0.777094538,TRUE,0,D,-0.114187395,70
10,5,TRUE,0,TRUE,9,0,-0.390522018,3,2.333333333,0,1.609437912,1,0.140117598,0,Intercultural,3,0,4,0,-1.596743386,,0,0.007783415,TRUE,0,B,0.784336368,80
7,3,FALSE,1.5,FALSE,6,0,-1.069997241,3,,1,1.386294361,0,0.114807072,1,Intercultural,5,2,4,3,-1.069444855,,1,0.792661368,TRUE,0,D,0.335074486,60
6,3,TRUE,2.5,FALSE,6,0,-1.052722447,3,3,1,0.693147181,1,-0.355319451,2,Intercultural,5,2,4,12,0.802101595,,0,-0.515842305,TRUE,0,F,-1.012711157,30
8,0,TRUE,1,TRUE,6,0,2.757089372,4,3,1,0.693147181,1,-0.139219557,1,Intercultural,2,2,8,12,-0.576917703,,1,-0.664969116,FALSE,4,E,0.335074486,40
8,2,TRUE,1.5,FALSE,2,0,-1.22187147,3.333333333,,1,0.693147181,1,1.968659313,3,Intercultural,5,1,4,6,0.38515282,,0,-0.777094538,TRUE,0,A,-0.788080217,60
4,9,TRUE,2,TRUE,4,0,-0.695710042,2,2,1,0,0,-0.560183182,4,Intercultural,2,1,5,4,0.194064123,,0,-0.777094538,TRUE,4,E,-0.338818335,50
10,5,TRUE,1.5,FALSE,8,0,0.915884264,3,2.333333333,1,0,1,-0.242998805,3,Intercultural,5,1,7,11,0.38515282,,0,0.400222392,TRUE,0,A,-0.114187395,30
6,1,TRUE,0.5,FALSE,4,0,0.703548257,3.666666667,3,0,1.098612289,0,2.314845114,2,Intercultural,5,1,6,12,-1.486393629,,0,-0.777094538,FALSE,3,D,-0.114187395,40
8,0,TRUE,1,FALSE,6,0,-0.777855285,2,5,1,0.693147181,0,-0.523146744,6,Intercultural,3,1,8,0,0.078553803,,0,-0.664969116,TRUE,4,D,0.559705427,60
6,0,FALSE,0,TRUE,6,0,-0.58054475,,4,1,1.609437912,0,-0.418398406,0,Intercultural,5,1,6,12,-2.448464152,,0,1.577539322,TRUE,,D,2.356752952,20
4,0,FALSE,2.5,TRUE,10,0,0.029060102,6,,0,0.693147181,0,-0.750668674,5,Intercultural,2,1,4,4,0.854696192,,1,3.147295228,TRUE,4,A,0.110443546,40
4,3,TRUE,2,TRUE,7,0,-0.493091106,3,3,0,0,0,-0.982909956,1,Intercultural,3,1,10,3,-0.71025124,,0,0.007783415,TRUE,4,D,-0.563449276,70
8,21,TRUE,0,FALSE,4,0,3.116995905,0,,0,1.609437912,0,0.208948377,3,Intercultural,5,2,8,13,-1.544148789,,0,-0.328592851,TRUE,6,C,3.13734547,30
10,1,TRUE,2,FALSE,6,1,2.718940869,4.333333333,2.333333333,1,1.609437912,0,-0.073797793,3,Intercultural,4,2,8,8,-0.107374331,,1,3.147295228,FALSE,1,E,-0.338818335,30
8,4,TRUE,1.5,FALSE,9,0,0.005358674,2.666666667,,1,0,1,-0.490484519,2,Intercultural,3,1,2,3,0.083714366,,1,-0.384655562,FALSE,4,A,-0.563449276,20
9,1,TRUE,2,TRUE,6,0,0.486173768,4.666666667,,1,1.098612289,1,-0.684735948,1,Intercultural,3,2,9,8,0.141469526,,1,-0.777094538,FALSE,4,D,1.233598249,20
8,5,TRUE,0,FALSE,6,0,-0.70002874,,,1,1.945910149,0,-0.518801128,2,Intercultural,5,2,9,1,-1.845587244,,0,-0.104342007,FALSE,,F,-0.338818335,30
0,0,TRUE,1,TRUE,4,0,-0.847734226,,,0,1.252762968,1,0.045719027,6,Intercultural,3,2,8,3,0.930274569,,0,-0.777094538,TRUE,,B,1.233598249,50
3,8,TRUE,1,FALSE,8,0,-1.43240802,,2.333333333,1,1.609437912,1,2.314845114,1,Intercultural,3,2,10,12,-0.576917703,,1,0.007783415,FALSE,1,B,0.335074486,20
6,0,TRUE,0.5,TRUE,6,0,1.060065812,3,4,1,1.791759469,1,2.314845114,5,Intercultural,4,1,8,12,0.2696425,,1,1.577539322,TRUE,0,E,2.581383892,50
4,3,TRUE,2,TRUE,6,0,-0.256282474,4,2,1,1.609437912,0,-0.429922472,2,Moseten,1,1,6,8,-0.408812786,,1,3.035169806,FALSE,0,A,0.335074486,20
5,6,TRUE,1.5,FALSE,8,0,-0.520802755,2.333333333,2.666666667,0,1.098612289,0,-0.339891449,3,Moseten,5,1,8,7,-0.466567946,1,0,-0.160404718,TRUE,,B,-0.114187395,40
12,3,TRUE,1.5,TRUE,10,0,-0.879974509,4,2,1,1.386294361,0,1.721075221,2,Moseten,3,2,10,9,-0.7680064,,1,1.185100345,FALSE,,E,-0.338818335,40
4,4,FALSE,1,FALSE,6,1,0.138838446,,2.333333333,1,1.098612289,0,-0.802851043,4,Moseten,4,2,8,8,-0.524323106,1,1,0.400222392,FALSE,4,E,0.784336368,30
8,2,TRUE,1.5,FALSE,6,0,-0.122762714,2.333333333,4,1,0.916290732,2,-0.159919503,4,Moseten,4,1,6,7,1.53831204,,1,1.969978298,FALSE,1,B,0.110443546,40
12,6,TRUE,2.5,FALSE,6,1,0.97346691,3,2,1,1.098612289,1,-0.490484519,6,Moseten,2,1,8,6,2.007855412,1,1,0.007783415,FALSE,2,B,-1.012711157,20
2,4,TRUE,0,TRUE,4,0,0.644965912,2,3.666666667,1,1.791759469,0,2.314845114,3,Moseten,5,2,3,8,-1.544148789,,1,0.568410524,FALSE,0,B,0.559705427,40
6,5,TRUE,0.5,FALSE,2,0,-0.600698676,4,1.333333333,1,2.302585093,2,0.011234573,3,Moseten,2,2,8,11,0.518486357,,1,0.456285103,TRUE,4,C,-0.788080217,40
8,7,TRUE,1.5,TRUE,10,0,0.090293077,,1.666666667,0,2.302585093,1,-0.23829546,7,Moseten,4,1,8,4,1.590906637,,1,0.007783415,FALSE,1,E,-0.788080217,40
4,0,TRUE,1,TRUE,2,1,-0.466099241,3.333333333,,1,0,1,-0.568683754,1,Moseten,6,1,8,0,-0.576917703,,1,0.007783415,FALSE,1,C,-0.788080217,60
9,1,TRUE,2,TRUE,9,0,-0.331693593,,3,1,1.609437912,0,-0.392966898,2,Moseten,1,1,4,8,-0.408812786,,1,0.792661368,TRUE,3,D,-0.563449276,30
12,0,TRUE,1,TRUE,6,0,0.49121225,1.666666667,5.333333333,1,0,0,-0.015122578,1,Moseten,2,1,0,9,-1.428638469,0,1,0.007783415,TRUE,4,E,0.559705427,50
4,3,TRUE,1.5,FALSE,10,0,-0.659540942,5,1,1,1.791759469,1,1.687533474,4,Moseten,4,2,10,8,0.686591274,1,0,0.400222392,TRUE,2,A,-0.788080217,60
7,2,TRUE,1,FALSE,9,0,-0.052223972,,,1,2.302585093,0,1.847432548,3,Moseten,2,1,0,4,-0.82576156,,0,0.007783415,FALSE,3,F,-0.114187395,50
8,3,TRUE,2.5,TRUE,4,0,-0.937557155,,3,1,0,0,-0.211511152,0,Moseten,5,2,10,12,-0.65249608,,1,1.577539322,FALSE,4,E,-0.114187395,30
8,3,TRUE,2,TRUE,3,1,-0.54779462,3,3,1,0,0,-0.956875557,3,Moseten,6,1,7,3,-0.107374331,,1,-0.552843695,FALSE,1,C,-0.114187395,30
4,21,TRUE,0.5,FALSE,6,0,0.520723356,0,0,0,0,1,-0.802851043,2,Moseten,2,2,8,12,-0.634672863,1,0,0.007783415,FALSE,2,E,0.335074486,50
8,4,TRUE,1,TRUE,6,0,-1.131898586,3.666666667,2,1,2.079441542,0,1.560509774,0,Moseten,2,0,8,1,-1.730076923,,1,0.792661368,TRUE,4,F,-0.563449276,60
4,9,TRUE,2.5,TRUE,5,1,-0.200499286,4,0,1,0,1,-0.982909956,3,Moseten,2,2,4,9,1.103540049,0,0,-0.777094538,FALSE,4,A,-0.338818335,40
6,1,TRUE,2.5,TRUE,13,0,-0.224372091,3.666666667,3,1,0,1,-0.435581009,2,Moseten,2,1,6,12,0.802101595,,1,0.792661368,FALSE,3,F,-0.563449276,30
4,21,TRUE,1,FALSE,6,0,-0.553073029,0,0,1,1.098612289,0,-0.254381219,3,Moseten,3,2,10,2,-0.82576156,,0,0.007783415,FALSE,0,F,-0.788080217,50
4,3,FALSE,1.5,FALSE,10,0,0.534399234,3,3,1,1.609437912,0,1.72607953,0,Moseten,2,2,12,13,-1.370883309,,1,0.007783415,TRUE,1,E,-0.338818335,20
4,3,FALSE,1.5,TRUE,4,0,-0.70002874,,,1,1.609437912,1,-0.456396433,2,Moseten,6,1,10,9,0.083714366,,1,0.400222392,FALSE,0,C,0.559705427,40
1,3,TRUE,0,FALSE,6,0,0.631569949,3,3,1,2.014903021,0,1.753314439,1,Moseten,8,2,6,16,-2.147025698,1,0,0.344159681,TRUE,2,D,3.13734547,40
4,3,TRUE,1,TRUE,6,0,-0.456862025,3,3,1,2.079441542,1,0.120818287,1,Moseten,5,1,8,9,-0.576917703,0,1,-0.328592851,TRUE,3,F,-0.338818335,50
7,3,TRUE,0.5,FALSE,6,0,2.161108985,3,3,1,1.609437912,1,1.933608054,2,Moseten,6,1,10,17,-0.634672863,,1,-0.216467429,TRUE,0,D,1.233598249,30
0,9,TRUE,1.5,TRUE,2,1,-1.344234593,4,0,1,0,0,-0.924051539,3,Moseten,2,1,8,10,-0.466567946,0,0,-0.777094538,FALSE,4,E,-0.563449276,50
12,9,TRUE,2,TRUE,8,1,0.395840992,4,0,1,1.609437912,0,0.584695764,2,Moseten,2,1,8,9,-0.408812786,,1,-0.384655562,TRUE,4,A,0.110443546,40
4,3,TRUE,1.5,TRUE,10,0,2.341054754,3,,1,1.609437912,0,0.334708405,2,Moseten,5,1,8,6,-0.7680064,,1,0.792661368,TRUE,2,E,2.581383892,60
8,5,TRUE,3,TRUE,5,0,0.998459378,3.333333333,2,1,1.098612289,1,0.597168811,6,Moseten,3,2,8,5,2.367049027,,1,0.007783415,FALSE,2,F,0.335074486,40
8,,TRUE,1.5,FALSE,6,0,0.523602488,,,0,0.693147181,1,-0.539126677,6,Moseten,1,0,4,5,1.289468183,,,-0.552843695,FALSE,1,D,-1.012711157,30
12,1,FALSE,1.5,TRUE,6,1,0.719383485,,3,0,1.609437912,0,-1.125006744,0,Moseten,3,0,10,3,-1.370883309,,0,0.007783415,FALSE,4,C,0.110443546,60
