RID,Order,Chose_R,Loc.SameValley_Diff,Loc.City_Diff,Wealth.High_Diff,Wealth.Med_Diff,Trust.Med_Diff,Trust.High_Diff,Good.Med_Diff,Good.High_Diff,Relig.Other_Diff,Pueblo.Other_Diff,Population,Version,Age,Sex,School_Yrs,NetIncome,Type,Nonanonymous_Play,Average_Given.Out
247,13,0,0,1,1,0,0,0,-1,1,NA,0,Intercultural,D,30,male,15,250,Religion,TRUE,NA
247,10,0,-1,0,1,0,1,-1,1,-1,NA,0,Intercultural,D,30,male,15,250,Religion,TRUE,NA
8,4,1,1,0,1,-1,-1,0,1,-1,0,0,Intercultural,C,30,fem,11,3720,Religion,TRUE,NA
8,5,0,0,0,0,0,0,-1,-1,0,-1,-1,Intercultural,C,30,fem,11,3720,Religion,TRUE,NA
8,15,0,0,0,0,0,0,0,0,0,-1,-1,Intercultural,C,30,fem,11,3720,Religion,TRUE,NA
8,3,0,1,-1,0,0,0,-1,-1,1,0,0,Intercultural,C,30,fem,11,3720,Religion,TRUE,NA
8,11,0,1,0,0,-1,0,0,0,1,-1,-1,Intercultural,C,30,fem,11,3720,Religion,TRUE,NA
8,2,1,0,0,-1,0,1,0,-1,0,-1,0,Intercultural,C,30,fem,11,3720,Religion,TRUE,NA
8,6,1,-1,0,-1,0,0,-1,0,0,1,-1,Intercultural,C,30,fem,11,3720,Religion,TRUE,NA
8,14,1,0,1,0,0,1,-1,-1,1,0,-1,Intercultural,C,30,fem,11,3720,Religion,TRUE,NA
8,13,0,0,1,1,0,0,0,-1,1,1,0,Intercultural,C,30,fem,11,3720,Religion,TRUE,NA
8,16,1,0,-1,0,0,1,0,0,1,0,1,Intercultural,C,30,fem,11,3720,Religion,TRUE,NA
8,7,1,0,-1,1,0,0,0,1,-1,-1,0,Intercultural,C,30,fem,11,3720,Religion,TRUE,NA
8,8,0,-1,1,0,0,0,0,0,1,-1,0,Intercultural,C,30,fem,11,3720,Religion,TRUE,NA
8,10,1,-1,0,1,0,1,-1,1,-1,-1,0,Intercultural,C,30,fem,11,3720,Religion,TRUE,NA
8,9,0,1,0,0,0,0,0,1,-1,1,0,Intercultural,C,30,fem,11,3720,Religion,TRUE,NA
8,18,0,1,0,0,0,-1,0,0,0,-1,1,Intercultural,C,30,fem,11,3720,Religion,TRUE,NA
