"RID","Order","Chose_R","Loc.SameValley_Diff","Loc.City_Diff","Wealth.High_Diff","Wealth.Med_Diff","Trust.Med_Diff","Trust.High_Diff","Good.Med_Diff","Good.High_Diff","Relig.Other_Diff","Pueblo.Other_Diff","Population","Version","Age","Sex","School_Yrs","NetIncome"
16,5,0,-1,1,0,-1,0,0,-1,1,0,1,"Intercultural","G",50,"male",12,-1000
17,12,0,0,-1,0,1,-1,1,0,-1,-1,0,"Moseten","A",35,"fem",5,2000
17,16,1,0,-1,0,0,0,0,-1,0,-1,-1,"Moseten","A",35,"fem",5,2000
17,14,0,1,0,0,0,0,0,-1,1,0,-1,"Moseten","A",35,"fem",5,2000
17,13,0,0,0,0,0,0,0,0,0,-1,-1,"Moseten","A",35,"fem",5,2000
17,11,0,0,0,1,-1,0,0,1,-1,0,-1,"Moseten","A",35,"fem",5,2000
17,17,1,-1,0,-1,0,0,1,0,0,0,1,"Moseten","A",35,"fem",5,2000
17,3,0,1,0,0,0,1,0,0,0,0,0,"Moseten","A",35,"fem",5,2000
17,7,1,0,0,0,0,1,-1,0,-1,-1,1,"Moseten","A",35,"fem",5,2000
17,10,1,-1,0,0,0,-1,0,0,0,0,-1,"Moseten","A",35,"fem",5,2000
17,8,1,-1,1,0,0,0,0,0,-1,0,-1,"Moseten","A",35,"fem",5,2000
17,4,0,0,1,0,0,-1,1,1,-1,0,0,"Moseten","A",35,"fem",5,2000
17,1,0,-1,1,1,-1,1,0,0,-1,1,0,"Moseten","A",35,"fem",5,2000
17,2,0,-1,1,0,0,-1,1,0,0,0,1,"Moseten","A",35,"fem",5,2000
17,15,0,0,0,0,1,1,-1,-1,1,1,0,"Moseten","A",35,"fem",5,2000
17,5,0,1,0,0,0,0,1,0,1,0,0,"Moseten","A",35,"fem",5,2000
17,18,1,0,0,0,0,0,0,0,0,-1,0,"Moseten","A",35,"fem",5,2000
17,6,1,0,0,-1,1,-1,1,-1,0,-1,1,"Moseten","A",35,"fem",5,2000
17,9,0,-1,1,0,0,0,-1,1,-1,0,-1,"Moseten","A",35,"fem",5,2000
18,18,1,0,0,0,1,0,0,1,0,0,0,"Moseten","J",40,"male",7,-1518
